Device ID,Device Name,Start Time,Transcript,Keywords,Keywords Detected,Similarity,Analytic Thinking,Authenticity,Certainty,Clout,Emotional Tone,Direction,Word Count
140,Danny Pineda,0:03:57,Representative of reality bro. Do it works. So we stop,,,,30,0,0,10,0,-1,10
140,Danny Pineda,0:04:09, Progress last week.,,,,0,0,0,0,33,-1,3
140,Danny Pineda,0:04:15," Okay, so today we'll continue with",,,,29,0,0,14,0,-1,6
140,Danny Pineda,0:04:21, What do so? Then just pick up on what you did last week. So we are looking at the blank platform which obviously is words. We are using now. So the build platform is more like a collaborative supports probability support system.,,,,12,0,0,10,7,-1,42
140,Danny Pineda,0:04:45," That helps to track how people then group, another help, too.",,,,9,0,0,18,9,-1,11
140,Danny Pineda,0:04:52,"Consciousness of people allows you to do with the colored beads. So the idea is, we tend to record the conversation and also try to use video technology to also track husband. They also did a really good job data and try to analyze them. You have to start patterns of our people, give up after options. I will not show on how to collaborate.",,,,14,2,5,11,5,-1,65
140,Danny Pineda,0:05:23," After that we collaborated very happy, don't you improve your learning and also what are the collaborative skills that represent that could help house better collaboration within a group. Okay. So we carried out a survey and we got some feedback from that service. So initially we came up with things too short but his family",,,,21,0,4,11,9,-1,56
140,Danny Pineda,0:05:48,"It in the Collaborative, Learning over will support system as a whole. Like, know why don't we allow the person to serve themselves to tell us what if you do, you want to see?",,,,14,0,0,6,11,-1,34
140,Danny Pineda,0:06:00," Of the Odyssey and the other Canadian adjudge somebody to be into have a good collaboration qualities. It is also some 40. Once you mentioned about want you to believe you peers and of the collaboration exercise, right? Some say they want to see people and information about the progress of their hands on activity or a discussion from the. Don't you see how their discussion? Like it's the topic of topic.",,,,16,0,5,8,8,-1,72
140,Danny Pineda,0:06:30," Crispy, then person who is speaking more on the order and enthralled of inflation of time to speak. So that's one of the things they really felt. The only information about to have them. No integration constant quality.",,,,10,0,0,8,5,-1,38
140,Danny Pineda,0:06:43,"Look what you done with, you can review, does postdoc or real-time HDR recommend Just For Better Learning, practical efficient. So today, where we can, as we have done. So during collaborator activity, you want to see the work. They've done the Progressive Party walk. How does the work integrate in contribute to the final results of collaboration and recovery disk activity, you know?",,,,15,0,2,9,14,-1,64
140,Danny Pineda,0:07:13," So the question we are going to ask you, do you think quality quantity and quality of work done? During a Collaborative Learning needs to be evaluated.",,,,15,0,0,7,7,-1,27
140,Danny Pineda,0:07:31, Utility completely and the quality of work done during the Collaborative Learning me.,,,,15,8,8,8,8,-1,13
140,Danny Pineda,0:07:38,People invented.,,,,0,0,0,0,0,-1,2
140,Danny Pineda,0:07:54, Speaking is you don't need to push anything.,,,,22,0,0,0,0,-1,8
140,Danny Pineda,0:08:29," Discussion. But also on Hands-On activity, like people working",,,,10,0,0,20,10,-1,9
140,Danny Pineda,0:08:33,"That in the coding project, also kind of like, trying to create something below and it will let us all discussion. But also,",,,,13,0,9,17,13,-1,23
140,Danny Pineda,0:08:44," On Hands-On activity here, say they started sort of things so the valuating things done versus things. But what I'm doing. So that's quantity and quality mother orders without them.",,,,15,3,3,12,3,-1,30
140,Danny Pineda,0:09:03, Again.,,,,0,0,0,0,0,-1,1
140,Danny Pineda,0:09:18, Okay. Yeah I was gonna say like I would want to say that quality is more important than quantity is my answer.,,,,9,14,9,9,14,-1,22
140,Danny Pineda,0:09:28," Yeah, I think.",,,,33,33,0,33,0,-1,3
140,Danny Pineda,0:09:29,"Quality of our party, but I feel like what's harder is coming up with a criteria for like what does good quality mean or what does high-quality mean? I feel like that does have to be set by the group beforehand, right? But I guess the way for the platform to do that, I mean, like you said, we won't think about implementation, but I feel like, yeah. The only challenge is like how, how can the platform like assess quality and like a consistent way. But yeah, but I think quality over quantity for sure.",,,,20,6,6,9,16,-1,96
140,Danny Pineda,0:09:59, Sure.,,,,0,0,100,0,0,-1,1
140,Danny Pineda,0:10:00," Yeah. So I think you had them put a question on which our site, right? So what suggestion do you like looking at a programming exercise or any programming exercise. There's also a discussion going on.",,,,8,3,3,11,5,-1,36
140,Danny Pineda,0:10:24,The house on activity this cause you're not done. Like we need to pick communicates we need to. So how do you think about track quality? How did you can assess quality?,,,,27,0,0,9,9,-1,32
140,Danny Pineda,0:10:39, I think it's a very relative thing that depends on what you're saying. I think people people think the discussion should,,,,22,9,4,0,0,-1,21
140,Danny Pineda,0:10:52, come up with that.,,,,50,0,0,0,0,-1,4
140,Danny Pineda,0:11:03, Okay.,,,,0,0,0,100,0,-1,1
140,Danny Pineda,0:11:06, And there are ya.,,,,25,0,0,25,0,-1,4
140,Danny Pineda,0:11:11," It comes back to like the social aspect about like keywords where it's like we're in discussion. And like I say a point and everyone's like, oh,",,,,10,3,7,7,20,-1,27
140,Danny Pineda,0:11:19,"We know it's going to DIA or like, I like that. I do like that. Will signify I guess, like, that statement or that point wasn't it, cause our quality, right? So I feel like, you can't like it kind of ties back to my little cute keyword idea, or keyword topic, that we're having a little speak up because I can listen. And remember, I was able to see. I cannot like that. Yeah.",,,,14,10,3,8,19,-1,75
140,Danny Pineda,0:11:55," puts because books in enjoy another, I think, quantity and account because when there's like more",,,,24,6,6,24,12,-1,16
140,Danny Pineda,0:12:05," There's some individuals that feel less than like, like they don't really want to share their ideas out or they don't feel like, oh, like this is a good enough like ever.",,,,26,0,6,3,20,-1,32
140,Danny Pineda,0:12:15,"So this we'll just agree with that. So I think we should also try to. I don't like I think quantity is also important in terms of measuring the quality looks you're saying Audrey, you're saying quantity for the individual but not necessarily for the group.",,,,18,6,0,10,10,-1,46
140,Danny Pineda,0:12:43," oh,",,,,0,0,0,0,0,-1,1
140,Danny Pineda,0:12:48, all right.,,,,50,0,100,0,50,-1,2
140,Danny Pineda,0:12:52," Thank you for group discussions to measure. Like, if it was a good discussion before the meeting have objectives and see if you reach this whole different levels of objectives. How far did you get with in though, in the discussion? So you hit the first arrived, the second objective, it was",,,,10,0,6,12,10,-1,52
140,Danny Pineda,0:13:10,"Pretty good meeting but we could have done more and then you can look more into that. Like why didn't we reach? If we had our meeting, we didn't reach all for lover, things that we want to talk about, we didn't get there, it may be near the end to somehow be able to sort of measure the tone. I mean discussion before being - you were being positive. I think that could be another aspect of quality for the discussion.",,,,25,2,5,5,8,-1,82
140,Danny Pineda,0:13:38," I think also would be objectives and stuff. I feel like it might be useful for the group to input their objectives and like their goals for the meeting or the work session or whatever like beforehand and then I don't know what people's thoughts on this are but like what's it called? I was thinking of at the end of it, like at the end of the group session or whatever you rank, how far he's everyone Rings. Like, just like quickly scale of one to five. How how much",,,,18,4,1,13,11,-1,91
140,Danny Pineda,0:14:05,"Izzy think we made on this? Maybe, I don't know. I mean some either. I feel like that sounds kind of cumbersome. Like, I don't like, you don't really want to do that after every meeting. But yeah, but open to us about this point. So I think the deliverables in my skills and objective. So what you have,",,,,27,10,5,8,11,-1,59
140,Danny Pineda,0:14:35," that separate then even if we spend time, you know,",,,,30,0,10,20,20,-1,10
