Device ID,Device Name,Start Time,Transcript,Keywords,Keywords Detected,Similarity,Analytic Thinking,Authenticity,Certainty,Clout,Emotional Tone,Direction,Word Count
11,Khalil,0:01:33,Bodies being so we can see like what the night does. That place?,,,,8,0,0,8,8,-1,13
11,Khalil,0:01:38, Does Never Back?,,,,33,0,33,0,33,-1,3
11,Khalil,0:01:42, Incurring.,,,,0,0,0,0,0,-1,1
11,Khalil,0:01:47," Emma, what was there and land?",,,,17,0,0,17,0,-1,6
11,Khalil,0:03:07,"The energy is your mic energizing. Yes. This is a tangerine and wild strawberry, San Pellegrino, and I've been, I've been switched out the sparkling water recently to see what else is out there, but I do have",,,,13,8,3,8,0,-1,38
11,Khalil,0:03:24,"Kroy is he they're not, they're not. All right. Maybe we'll go ahead and we'll wait for the Unicorn to come back.",,,,35,0,8,4,8,-1,22
11,Khalil,0:03:42," This sparkling water is if I'm going to student that's short for say, isn't like good, right? Just a typo. No, I'll definitely like yoke, you're young. It's okay. So, what how come energy drinks are? Okay, but coffee is and I don't know. Okay. I was just asking, there's no no judgment in that core.",,,,14,6,5,8,11,-1,56
11,Khalil,0:04:11, I'll get the question. But why are it wise coffee ban?,,,,25,8,0,8,8,-1,11
11,Khalil,0:04:16, Because it's a job as I'm drinking.,,,,22,11,0,22,0,-1,7
11,Khalil,0:04:19, Oh wow.,,,,0,0,0,0,0,-1,2
11,Khalil,0:04:20,"Make that pretty like, that's pretty much it.",,,,33,0,0,0,44,-1,8
11,Khalil,0:04:28, Where do you find such outfits?,,,,0,0,0,0,0,-1,6
11,Khalil,0:04:34," Or I'll make end here as though, it's right.",,,,18,9,9,27,18,-1,9
11,Khalil,0:04:42, But yes idea is healthy. It's a drug and the Dare program taught us that drugs are bad.,,,,16,0,5,11,11,-1,18
11,Khalil,0:04:52, And it's got something for ya. What is that? Is that is that,,,,7,0,0,7,0,-1,13
